,actual_importance,null_importance_0,null_importance_1,null_importance_2,null_importance_3,null_importance_4,null_mean,score_rank
title,165815.38893620175,1.336400032043457,0.0,0.0,4.318075021107991,9.939933538436888,3.1188817183176676,1.0
0_ratio,17731.816158990063,0.0,0.0,3.37636661529541,1.696416695912679,5.3996249834696455,2.094481658935547,3.0
last_3_mean_same_assess_grp,15911.162634253502,0.0,0.0,2.271608352661133,0.0,1.2910333474477131,0.7125283400217691,2.0
accum_avg_group,14547.525723099709,4.435258309046428,0.0,5.210500081380209,0.0,13.208533207575481,4.570858319600424,6.0
mean_game_acc,13763.540578484535,1.599125067392985,4.922733386357626,10.421416441599527,2.220608393351237,9.117858409881592,5.656348339716594,8.0
last_1_mean_same_assess_acc,12439.527868568897,1.830933411916097,0.0,7.669033527374268,0.0,1.2689332962036133,2.153780047098796,4.0
last_world_to_now_time1,12415.460039675236,21.59035841623942,2.8908665974934897,7.530191659927368,11.866933345794678,50.39267508188883,18.854205020268758,18.0
accum_avg_acc,11006.839320222536,0.0,1.6028833389282227,1.6689999898274739,2.9543248812357588,9.265533526738485,3.098348347345988,5.0
game_abandon_ratio,9474.24891448021,3.2356416384379068,4.613725026448568,4.506033341089885,4.450675010681152,14.330108404159546,6.227236684163412,15.0
world,8221.352143983046,0.0,0.0,5.07622496287028,6.065866629282634,8.217849810918173,3.871988280614217,12.0
mean_same_assess_grp,7168.261437396208,1.7990999221801758,4.335591713587442,5.018566608428955,2.876891613006592,1.4667332967122395,3.0993766307830812,11.0
mean_same_assess_acc,7089.520570516586,6.605316797892253,0.0,6.610808293024699,2.7747082710266113,4.1749500433603925,4.033156681060791,13.0
overall_game_corr_ratio,6785.812880059083,2.0762500762939453,0.0,3.660641670227051,6.94872490564982,11.00165017445882,4.737453365325928,16.0
mean_enter_game_acc,5657.308075805505,8.357516606648764,14.466983397801716,9.192533334096272,9.343308448791504,18.070608456929524,11.886190048853555,29.0
acc_Mushroom Sorter (Assessment),5619.267849286397,1.7019416491190593,0.0,2.9446083704630532,1.7585166295369465,4.353633483250936,2.151740026473999,9.0
mean_num_miss,4763.637337386608,3.2707916895548506,3.29835844039917,8.300041596094767,7.4672917524973546,13.323125123977661,7.131921720504761,20.0
last_3_mean_same_assess_acc,4347.401261031628,1.6157417297363281,0.0,3.662950038909912,1.4382583300272624,7.684091726938884,2.8802083651224772,17.0
last_5_accum_avg_acc,3689.146353304386,4.92175849278768,1.4118332862854004,2.87214994430542,6.358174959818522,15.463199933369955,6.205423323313395,24.0
game_abandon,3687.390789886316,1.3501083056132,0.0,0.0,0.0,1.5143499374389648,0.572891648610433,7.0
abandon_ratio_Sandcastle Builder (Activity),3455.8324539264045,1.2184333006540935,8.7211332321167,0.0,1.6297499338785808,14.897558212280273,5.293374935785929,22.0
Crystal Caves - Level 3,3322.839016735554,1.4040333429972331,0.0,1.6546084086100261,1.36163330078125,2.625433365503947,1.4091416835784911,14.0
last_world_to_now_time2,3224.0130882263184,10.955424944559732,4.429483413696289,8.674733320871988,9.03523333867391,56.327632983525596,17.8845016002655,69.0
enter_game_overall_game_corr_ratio,3088.4408153692884,5.6931750774383545,0.0,14.304958661397299,1.4779499371846516,9.493033329645792,6.19382340113322,30.0
abandon_cnt_Sandcastle Builder (Activity),2906.4245911439257,0.0,0.0,27.187383254369102,0.0,18.528308153152466,9.143138281504314,39.0
4070,2848.169035434723,3.7383000055948896,0.0,6.320899963378906,4.317866722742716,11.530424912770588,5.18149832089742,26.0
count_clip_diff_assessment,2792.546515921752,2.9752999941507974,1.374674956003825,3.8697500228881836,5.998225053151448,10.19665018717448,4.882920042673747,25.0
27253bdc,2594.7388463417687,3.9789582888285313,0.0,4.223224957784017,4.508399963378906,15.375049988428751,5.617126639684041,32.0
7372e1a5,2564.03341837724,1.4758000373840332,4.679425080617269,1.339908281962077,6.942066589991252,3.3175166447957354,3.5509433269500734,21.0
last_1_mean_game_acc,2453.94683021307,5.039433320363362,0.0,9.249250094095865,6.660641670227051,24.602933247884113,9.110451666514077,48.0
last_session_time,2253.88064400355,3.860466639200846,9.187941710154217,14.47034994761149,22.53047482172648,34.458066860834755,16.901459995905558,99.0
2000,2191.6007762153945,0.0,0.0,1.2148249944051106,6.854716618855794,26.25047477086385,6.864003276824951,40.0
time_Activity_curr_world,2100.826969842116,0.0,0.0,9.949758211771647,3.1792917251586914,29.380632956822716,8.50193657875061,51.0
duration_std,1895.706248720487,7.177833557128906,7.683458566665649,4.8563917477925616,11.858866691589355,21.171083291371666,10.549526770909628,74.0
last_1_mean_same_assess_grp,1781.4473652442293,0.0,0.0,0.0,0.0,0.0,0.0,10.0
overall_mean_84538528,1725.3859477837882,1.7765250205993652,2.760358254114787,4.856308380762736,2.078383286794027,11.697816689809162,4.633878326416015,36.0
count_CRYSTALCAVES,1637.4868121544519,4.985533237457275,3.6482249895731607,0.0,3.770608266194661,13.388808329900105,5.1586349646250405,43.0
3_ratio,1502.4758073290188,3.0347582499186196,3.0775583585103354,2.961050033569336,13.47207498550415,11.988699754079184,6.906828276316325,59.0
time_Assessment_curr_world,1405.5429283380508,2.7464834054311114,1.3640666007995605,11.952508052190145,6.535100142161052,16.565624952316284,7.832756630579631,75.0
overall_mean_4ef8cdd3,1385.8145955602329,3.432041645050049,0.0,13.571441650390625,5.426600058873495,4.389491717020671,5.3639150142669685,53.0
count_same_assess_grp,1349.9762583772342,0.0,0.0,7.45455002784729,0.0,8.887741565704346,3.2684583187103273,34.0
acc_Chest Sorter (Assessment),1289.3887135982513,1.197891632715861,2.1179000536600747,0.0,3.646183411280314,0.0,1.39239501953125,23.0
last_test_to_now_time,1283.4235239227612,6.816958427429199,8.149941603342691,6.8494500319163,5.970208168029785,16.661666472752888,8.889644940694172,94.0
clip_abandon_ratio,1274.0947331587474,5.964199860890706,1.5849083264668782,1.3794666926066081,6.431808312733968,22.581833521525066,7.588443342844644,78.0
3020,1209.3656474749248,2.056783358256022,0.0,0.0,0.0,10.947258234024048,2.600808318456014,33.0
acc_Bird Measurer (Assessment),1162.1032150586445,0.0,1.7632916768391926,1.3778166770935059,0.0,4.644083340962728,1.5570383389790852,28.0
overall_mean_ca11f653,1160.1153573989868,1.265708367029826,5.766591707865397,7.227216561635336,1.2626166343688965,14.149274905522665,5.934281635284424,71.0
overall_mean_5a848010,1121.090757449468,0.0,0.0,5.126108328501384,1.9873417218526204,6.190358400344849,2.6607616901397706,37.0
curr_world_time,1050.6301418940227,6.759699900945027,3.7989999453226724,7.230824788411458,14.197283426920574,44.45005830128988,15.287373272577923,214.0
time_Clip_curr_world,1032.876797358195,13.2827250957489,3.7380666732788086,8.338324944178263,8.738374869028727,15.085716565450031,9.836641629536945,131.0
time_Clip,996.0197191635768,10.35949993133545,2.893141746520996,3.7551166216532392,6.414349953333536,21.905483484268192,9.065518347422284,123.0
time_Game_curr_world,990.744911690553,5.871808369954428,1.2797833283742268,41.10229992866516,4.3625251452128095,101.06079975763957,30.735443305969238,428.0
std_enter_game_acc,941.5980950395265,2.60046656926473,0.0,9.165625095367432,8.37309177716573,13.471641461054485,6.722164980570474,102.0
4020,936.0061598022778,0.0,0.0,2.499566634496053,0.0,17.219924767812095,3.9438982804616294,60.0
overall_sum_0db6d71d,934.9043021202087,4.795041640599568,0.0,2.511549949645996,1.1908583641052246,4.939391613006592,2.687368313471476,45.0
04df9b66,903.8673404256504,0.0,0.0,1.3254000345865886,3.5666416486104326,0.0,0.9784083366394043,27.0
overall_mean_5c2f29ca,892.1141738891602,0.0,0.0,8.35248351097107,6.284633159637451,44.04487490653992,11.736398315429687,194.0
std_game_acc,865.5466412703197,5.499891678492228,6.641016721725465,9.82580018043518,2.658541599909465,20.682133436203003,9.061476723353069,149.0
Crystal Caves - Level 3_2000,849.4923382004102,0.0,0.0,0.0,1.8196500142415364,0.0,0.3639300028483073,19.0
acc_Cart Balancer (Assessment),842.4057415723801,0.0,1.765933354695638,0.0,1.742966651916504,13.806408325831095,3.4630616664886475,61.0
4030,829.3364526033401,0.0,0.0,3.452841599782308,2.4794166882832847,23.60074162483215,5.906599982579548,103.0
num_round_max_list,829.2816919485729,0.0,1.8373249371846516,3.698149998982747,1.473833401997884,30.405941486358643,7.483049964904785,126.0
duration_mean,828.0837706724803,0.0,1.3168833255767822,14.74108338356018,6.889099995295207,23.346800168355305,9.258773374557496,160.0
std_same_assess_acc,802.6948359608651,0.0,2.8603917757670083,10.968441724777222,3.0097500483194985,42.79505801200867,11.926728312174479,222.0
4025,778.6188072164854,5.098108450571696,1.7204000155131023,9.887933413187664,0.0,10.718200127283732,5.4849284013112385,104.0
4040,769.5563502113024,1.1120917002360027,0.0,7.762199878692626,1.0581999619801838,18.320666551589966,5.650631618499756,109.0
time_TREETOPCITY,748.6888358394306,0.0,4.280050118764241,0.0,3.367466608683268,15.004583438237507,4.530420033137004,87.0
3ee399c3,731.2839986681938,1.4467250506083171,3.227300008138021,1.6129666964213054,0.0,10.837849934895834,3.4249683380126954,72.0
overall_mean_4a4c3d21,727.1900968352954,0.0,1.5308416684468586,6.799950043360392,2.983816623687744,15.408224900563557,5.34456664721171,111.0
